"Name","House","Expansion – #","Type","Rarity","Aerc Min","Aerc Max","Amber Control","Amber Control Max","Expected Amber","Expected Amber Max","Creature Protection","Creature Protection Max","Artifact Control","Artifact Control Max","Creature Control","Creature Control Max","Effective Power","Effective Power Max","Efficiency","Efficiency Max","Recursion","Recursion Max","Disruption","Disruption Max","Other","Other Max","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"The Sting","Shadows","CALL_OF_THE_ARCHONS – 295 | MASS_MUTATION – 296 | AGE_OF_ASCENSION – 317","Artifact","Rare","1","2","0","","1","","0","","0","","0","","0","","0","0","","","0","","0","1","1","","","8360","7339","usableArtifact – 3 – anyHouse | increasesKeyCost – 2 – anyHouse","forgesKeys – 4 – anyHouse | destroys – 3 – outOfHouse | returns_R_ToHand – 2 – outOfHouse | card – 3 – anyHouse | purges – 3 – outOfHouse | increasesKeyCost – 3 – anyHouse","VEHICLE","Skip your “forge a key” step. You get all A spent by your opponent when forging keys. Action: Sacrifice The Sting.",""
"Treasure Map","Shadows","WORLDS_COLLIDE – 284 | CALL_OF_THE_ARCHONS – 284 | AGE_OF_ASCENSION – 318","Action","Rare","2","","0","","2","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","9224","8107","","","","Play: If you have not played any other cards this turn, gain 3A. For the remainder of the turn, you cannot play cards.",""
"Silent Dagger","Shadows","CALL_OF_THE_ARCHONS – 318","Upgrade","Uncommon","1.5","1.75","0","","1","","0","","0","","0.5","0.75","0","","0","0","","","0","","0","","1","0","0","15923","13047","goodReap – 3 – anyHouse | dealsDamage – 2 – anyHouse | goodPlay – 3 – anyHouse","causesReaping – 2 – anyHouse","","This creature gains, “Reap: Deal 4<D> to a flank creature.”",""
"Memolith","","ANOMALY_EXPANSION – A04","Artifact","FIXED","2","","0","","0","","0","","0","","0","","0","","0.25","1.25","","","0","","0.5","","0","","","319","322","usableArtifact – 3 – anyHouse","","LOCATION","Action: Graft an action card from your hand onto Memolith (place it faceup under this card), or trigger the play effect of an action card grafted onto Memolith.",""
"5C077 – Evil Twin","StarAlliance","DARK_TIDINGS – 243","Creature","EvilTwin","0.8500000000000001","1.1","0","","0","","0","","0","","0.25","0.5","2","","0","0","","","0","","0","","0","2","","0","0","goodReap – 2 – anyHouse | destroys – 2 – anyHouse | addsPowerTokens – 1 – anyHouse","protectsCreatures – 2 – anyHouse","ROBOT","Reap: Destroy another creature with the same power as 5C077. You may give 5C077 a +1 power counter or remove a +1 power counter from 5C077.",""
"C.R. Officer Hawkins – Evil Twin","StarAlliance","DARK_TIDINGS – 244","Creature","EvilTwin","1.6","2.6","1","2","0","","0","","0","","0","","2","","0","0","","","0","","0","","0","2","","0","0","deploy – 3 – anyHouse | goodPlay – 3 – anyHouse","replays – 3 – house","HUMAN","Deploy. (This creature can enter play anywhere in your battleline.) Play: Your opponent loses 1 for each of C.R. Officer Hawkins's non-Star Alliance neighbors.",""
"CH-337A – Evil Twin","StarAlliance","DARK_TIDINGS – 245","Creature","EvilTwin","0.9","1.6","0","","0","","0","","0","","0","","5","12","0","0","","","0","","0","","0","3","","0","0","skirmish – 4 – anyHouse","causesFighting – 2 – anyHouse | goodFight – 1 – anyHouse | raisesTide – 2 – anyHouse","ROBOT","Skirmish. (When you use this creature to fight, it is dealt no damage in return.)  While the tide is high, each of CH-337A's neighbors gains skirmish.",""
"Colonist Chapman – Evil Twin","StarAlliance","DARK_TIDINGS – 246","Creature","EvilTwin","0.75","1.6","0.25","1","0","","0","","0","","0","","1","2","0","0","","","0","","0","","0","3","","0","0","dangerousRandomPlay – 4 – anyHouse","removesCapturedAmber – 3 – house | removesCapturedAmber – 1 – outOfHouse","HUMAN","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) Play: Capture all  from each player.","“What I reap, I keep. What you reap, I keep.”"
"Operative Espion – Evil Twin","StarAlliance","DARK_TIDINGS – 247","Creature","EvilTwin","1.25","2.25","0","","0","","0","","0","","0.25","1.25","6","","0","0","","","0","","0","","0","4","","0","0","elusive – 3 – anyHouse","raisesTide – 2 – anyHouse | lowersTide – 3 – anyHouse","ALIEN","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)  After a player raises the tide during their turn, they may deal 3 to a creature.",""
"Rocketeer Tryska – Evil Twin","StarAlliance","DARK_TIDINGS – 248","Creature","EvilTwin","1","2.75","0","","0","0.75","0","","0","","0","0.5","6","","0","0","","","0","","0","0.5","0","4","","0","0","skirmish – 3 – anyHouse","raisesTide – 2 – anyHouse | goodReap – 3 – house | goodAction – 3 – house","HUMAN","Skirmish.  While the tide is high, Rocketeer Tryska enters play ready.","“Goodbye, Glub-Glub.”"
"Shield-U-Later – Evil Twin","StarAlliance","DARK_TIDINGS – 249","Creature","EvilTwin","1.4500000000000002","","0","","0","","0","","0","","0.75","","3","","0","0","","","0","","0","","0","5","","0","0","","","ROBOT","Shield-U-Later may be played as an upgrade instead of a creature, with the text: “This creature loses all armor and gets –2 power.”","“But I need it now!”"
"Com. Officer Hings","StarAlliance","DARK_TIDINGS – 250","Creature","Rare","1.7000000000000002","4.7","0","","0","","0","","0","","0","","3","","1","0","4","","0","","0","","0","3","","0","0","drawsCards – 4 – anyHouse | goodReap – 4 – anyHouse | goodFight – 4 – anyHouse | goodPlay – 3 – anyHouse | good – 3 – anyHouse","protectsCreatures – 2 – anyHouse | causesReaping – 2 – outOfHouse | causesReaping – 3 – house | card – 3 – anyHouse | archivesRandom – 1 – anyHouse | archives – 2 – anyHouse | deploy – 1 – anyHouse | moves – 1 – house | highCreatureCount – 1 – anyHouse | lowCreatureCount – -1 – anyHouse","HUMAN","Play: You may search your deck for Com. Officer Gross, reveal it, and put it into your hand. Shuffle your deck. Fight/Reap: Draw 1 card for each creature between Com. Officer Hings and Com. Officer Gross.",""
"Com. Officer Gross","StarAlliance","DARK_TIDINGS – 251","Creature","FIXED","0.7","1.4","0","","0","","0","","0","","0","","3","10","0","0","","","0","","0","","0","3","","0","0","goodReap – 3 – anyHouse | goodFight – 3 – anyHouse | addsPowerTokens – 3 – anyHouse | goodPlay – 3 – anyHouse","protectsCreatures – 2 – anyHouse","HUMAN","Play: You may search your deck for Com. Officer Hings, reveal it, and put it into your hand. Shuffle your deck. Fight/Reap: Give a +1 power counter to each creature between Com. Officer Hings and Com. Officer Gross.",""
"Z-Wave Emitter","StarAlliance","MASS_MUTATION – 356 | DARK_TIDINGS – 255","Upgrade","FIXED","1.75","","0","","1","","0.75","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","protectsCreatures – 3 – anyHouse | protectsFromEffects – 3 – anyHouse | preventsRemoval – 3 – anyHouse | goodPlay – 3 – anyHouse","","","At the start of your turn, ward this creature.",""
"5C077","StarAlliance","DARK_TIDINGS – 256","Creature","Rare","1.1","1.7999999999999998","0","","0.5","1","0","","0","","0","","2","4","0","0","","","0","","0","","0","2","","0","0","goodReap – 3 – anyHouse | uses – 2 – continuous | uses – 1 – continuous | addsPowerTokens – 1 – anyHouse","causesReaping – 3 – anyHouse | protectsCreatures – 3 – anyHouse","ROBOT","Reap: Ready and use another friendly creature with the same power as 5C077. You may give 5C077 a +1 power counter or remove a +1 power counter from 5C077.",""
"Book of leQ","StarAlliance","WORLDS_COLLIDE – 325 | DARK_TIDINGS – 257","Artifact","Rare","2.5","4","0","","0","","0","","0","","0","","0","","2.5","0","4","","0","","0","","0","","","0","0","usableArtifact – 3 – anyHouse | playsFromOtherHouse – 1 – outOfHouse | good – 3 – anyHouse","reorderDeck – 4 – house | revealsTopDeck – 3 – house","ITEM","Action: Reveal the top card of your deck. If it is a non-Star Alliance card, its house becomes your active house. Otherwise, end your turn.",""
"Ceaseforge","StarAlliance","DARK_TIDINGS – 259","Artifact","Rare","1.5","5","0.5","4","1","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","increasesKeyCost – 3 – anyHouse | dangerousRandomPlay – 2 – anyHouse | good – 3 – anyHouse","archives – 3 – anyHouse | scalingAmberControl – 3 – anyHouse | increasesKeyCost – 2 – anyHouse","LAW","Play: Put 2 time counters on Ceaseforge. Players cannot forge keys. At the start of your turn, remove a time counter from Ceaseforge, then destroy it if there are no time counters on it. ",""
"Crash Muldoon","StarAlliance","WORLDS_COLLIDE – 327 | DARK_TIDINGS – 261","Creature","Rare","2.2","","0","","0.75","","0","","0","","0","","3","","0","0","","","0","","0.75","","0","3","","0","0","uses – 3 – outOfHouse | deploy – 3 – anyHouse | goodAction – 3 – anyHouse | goodPlay – 2 – anyHouse","","PILOT | HUMAN","Deploy. Crash Muldoon enters play ready. Action: Use a neighboring non-Star Alliance creature.",""
"D1-V3 Pod","StarAlliance","DARK_TIDINGS – 262","Upgrade","Rare","0.25","","0","","0","","0.25","","0","","0","","0","","0","0","","","0","","0","","0","","","0","0","skirmish – 2 – anyHouse | elusive – 2 – anyHouse | protectsCreatures – 1 – anyHouse","",""," While the tide is high, this creature gains skirmish.  While the tide is low, this creature gains elusive.","The tide presented a fresh new challenge."
"Doctor Driscoll","StarAlliance","WORLDS_COLLIDE – 329 | DARK_TIDINGS – 263","Creature","Rare","1.25","1.4500000000000002","0","","0.25","","0","","0","","0","","6","8","0","0","","","0","","0","","0","3","","0","0","elusive – 3 – anyHouse | goodAction – 3 – anyHouse | heals – 3 – anyHouse","uses – 2 – anyHouse","HUMAN | SCIENTIST","Elusive. Action: Heal 2 damage from a creature. Gain 1 for each damage healed this way.",""
"Exploratory Craft","StarAlliance","DARK_TIDINGS – 265","Artifact","Rare","1.75","","0","","0","","0","","0","","0","","0","","1.75","0","","","0","","0","","0","","","0","0","usableArtifact – 3 – anyHouse | drawsCards – 3 – anyHouse","","SHIP","Action: Exhaust up to 3 friendly creatures. For each house represented among creatures exhausted this way, draw a card.",""
"Forging an Alliance","StarAlliance","WORLDS_COLLIDE – 331 | MASS_MUTATION – 342 | DARK_TIDINGS – 266","Action","Rare","1","","0","","1","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","forgesKeys – 3 – anyHouse","","","Play: Forge a key at +7 current cost, reduced by 1 (to a maximum of 6) for each house represented among cards in play.","“Welcome to the Grand Star Alliance!” "
"Make It So","StarAlliance","DARK_TIDINGS – 268","Action","Rare","2","3","0","","1","","0","","0","","0","","0","","1","0","2","","0","","0","","1","","","0","0","revealsTopDeck – 3 – house | drawsCards – 3 – house | good – 2 – anyHouse","revealsTopDeck – 3 – house","","Play: Choose a house. Reveal the top card of your deck. If that card belongs to the chosen house, draw it and trigger this effect again.",""
"Matter Maker","StarAlliance","MASS_MUTATION – 349 | DARK_TIDINGS – 269","Artifact","Rare","1","5","0","","1","","0","","0","","0","","0","","0","0","4","","0","","0","","1","","","0","0","playsCards – 3 – anyHouse | playsFromOtherHouse – 4 – continuous | good – 3 – anyHouse","any – 1 – anyHouse","ITEM","You may play upgrades as if they belonged to the active house.",""
"Plasma Nozzle","StarAlliance","WORLDS_COLLIDE – 336 | DARK_TIDINGS – 270","Upgrade","Rare","2","2.5","0","","1","","0","","0","","1","1.5","0","","0","0","","","0","","0","","1","","","0","0","damagesMultiple – 3 – anyHouse | goodFight – 3 – anyHouse | goodPlay – 3 – anyHouse | dealsDamage – 3 – anyHouse","causesFighting – 2 – anyHouse","","This creature gains, ""Before Fight: Deal 2 to the attacked creature, with 2 splash.""","“The plasma nozzle is now calibrating.”"
"Prof. Emeritus Kering","StarAlliance","DARK_TIDINGS – 271","Creature","Rare","1.75","3","0","","1.25","2.5","0","","0","","0","","1","","0","0","","","0","","0","","0","1","","0","0","deploy – 3 – anyHouse | uses – 3 – outOfHouse | goodPlay – 3 – anyHouse | goodReap – 2 – anyHouse","raisesTide – 2 – anyHouse | protectsCreatures – 2 – anyHouse","HUMAN","Deploy.  Play/Fight/Reap: Use 1 of Prof. Emeritus Kering's neighbors. If the tide is high, also use Prof. Emeritus Kering's other neighbor.",""
"The Ulfberht Device","StarAlliance","DARK_TIDINGS – 272","Artifact","Rare","0.75","2.5","0","","0.5","1","0","","0","","0","","0","","0","0","","","0.25","1.5","0","","1","","","0","0","","highCreatureCount – -3 – anyHouse | lowCreatureCount – 3 – anyHouse | goodReap – -1 – anyHouse | goodFight – -1 – anyHouse | goodAction – -1 – anyHouse | goodDestroyed – 1 – anyHouse | goodPlay – 1 – anyHouse | card – -2 – anyHouse","ITEM","Each player cannot choose the same active house they chose on their previous turn.","“Our best guess is that this was a piece of Architect silverware.” —Scout<nonbreak>Pete"
"United Action","StarAlliance","WORLDS_COLLIDE – 343 | DARK_TIDINGS – 273","Action","Rare","1","3","0","","0","","0","","0","","0","","0","","1","0","3","","0","","0","","0","","","0","0","alpha – 3 – anyHouse | playsFromOtherHouse – 4 – anyHouse","highCreatureCount – -3 – house | lowCreatureCount – 3 – house | any – 1 – outOfHouse | card – 4 – anyHouse | alpha – -3 – house","","Alpha. Play: For the remainder of the turn, you may play cards from any house for which you have a card in play. You cannot use cards this turn.",""
"Agent Sepdia","StarAlliance","DARK_TIDINGS – 274","Creature","Uncommon","1.4","1.65","0","","0","","0","","0","","0.5","0.75","5","","0","0","","","0","","0","","0","4","1","0","0","goodFight – 1 – anyHouse | goodReap – 1 – anyHouse | stuns – 2 – anyHouse","raisesTide – 2 – anyHouse | uses – 1 – anyHouse","AQUAN"," Fight/Reap: Deal 1 to a creature. If the tide is high, stun that creature.","A uniquely dangerous environment requires uniquely dangerous agents."
"Away Team","StarAlliance","MASS_MUTATION – 320 | DARK_TIDINGS – 275","Creature","Uncommon","0.9","2.4","0","","0","","0","","0","","0","","5","","0","0","","1.5","0","","0","","0","5","","0","0","goodDestroyed – 3 – anyHouse | archivesRandom – 2 – anyHouse","goodPlay – 2 – anyHouse | enhanced – 2 – anyHouse","ALIEN | ROBOT | HUMAN","Destroyed: Put each upgrade on Away Team into its owner’s archives.","After the disaster on Roddenfruit-5,<softreturn>red uniforms were discontinued."
"CH-337A","StarAlliance","DARK_TIDINGS – 276","Creature","Uncommon","1.15","","0","","0","","0.25","","0","","0","","5","","0","0","","","0","","0","","0","3","","0","0","elusive – 3 – anyHouse | protectsCreatures – 2 – anyHouse | preventsFighting – 2 – anyHouse","","ROBOT","Elusive.  While the tide is high, each of CH-337A's neighbors gains elusive.","Dangerously speedy."
"Colonist Chapman","StarAlliance","DARK_TIDINGS – 277","Creature","Uncommon","2.15","2.65","0","","1","1.5","0.25","","0","","0","","5","","0","0","","","0","","0","","0","3","","0","0","protectsCreatures – 3 – anyHouse | preventsFighting – 3 – anyHouse","protectsFromEffects – 2 – anyHouse | causesReaping – 2 – anyHouse","HUMAN","Taunt. Each of Colonist Chapman's non-Star Alliance neighbors gains, ""Reap: Gain 1.""","“Our harvests are for everyone.”"
"CXO Taber","StarAlliance","WORLDS_COLLIDE – 309 | DARK_TIDINGS – 278","Creature","Uncommon","1.9500000000000002","3.1999999999999997","0","","0.25","0.5","0","","0","","0","","3","","1","0","2","","0","","0","","0","3","","0","0","playsCards – 3 – anyHouse | goodReap – 3 – anyHouse | playsFromOtherHouse – 3 – outOfHouse | good – 2 – anyHouse","causesReaping – 2 – anyHouse | protectsCreatures – 2 – anyHouse","ALIEN | KRXIX","Fight/Reap: You may play or use a non-Star Alliance card this turn.","Cultural Exchange Officer Taber is everyone’s best friend."
"Force Field","StarAlliance","WORLDS_COLLIDE – 310 | DARK_TIDINGS – 279","Upgrade","Uncommon","1.5","","0","","1","","0.5","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","goodReap – 3 – anyHouse | protectsCreatures – 1 – anyHouse | protectsFromEffects – 1 – anyHouse | preventsRemoval – 1 – anyHouse | ward – 1 – anyHouse | goodPlay – 3 – anyHouse","","","This creature gains, ""Reap: Ward this creature.""","“Not today!”"
"Lay of the Land","StarAlliance","WORLDS_COLLIDE – 313 | MASS_MUTATION – 323 | DARK_TIDINGS – 280","Action","Uncommon","2.5","","0","","1","","0","","0","","0","","0","","1.5","0","","","0","","0","","1","","","0","0","reorderDeck – 3 – anyHouse | revealsTopDeck – 3 – anyHouse | drawsCards – 3 – anyHouse | good – 2 – anyHouse","","","Play: Look at the top 3 cards of your deck and put them back in any order. Draw a card.","“We’re optimistic, not naive.” <softreturn>—Captain<nonbreak>Val<nonbreak>Jericho"
"Mutagenesis Researcher","StarAlliance","MASS_MUTATION – 325 | DARK_TIDINGS – 281","Creature","Uncommon","3.1999999999999997","","0.5","","1","","0","","0","","0.25","","3","","0.75","0","","","0","","0","","0","3","","0","0","good – 3 – anyHouse","","MUTANT | SCIENTIST","Enhance . (These icons have already been added to cards in your deck.)","“I wonder what you’ll turn into.”"
"Sabotage Mission","StarAlliance","DARK_TIDINGS – 282","Action","Uncommon","1.75","","0.75","","1","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","increasesKeyCost – 3 – anyHouse","","","Play: Keys cost +1 for each different power value among friendly creatures during your opponent’s next turn.",""
"Selective Preservation","StarAlliance","DARK_TIDINGS – 283","Action","Uncommon","2.5","3","0","","0","","0","","0","","3","3.5","-5","","0","0","","","0","","0","","0","","","0","0","destroys – 3 – anyHouse | boardClear – 3 – anyHouse | good – 2 – anyHouse","increasesCreaturePower – 3 – house | card – 2 – anyHouse","","Play: Choose a creature of each power value. Destroy each creature not chosen.","“I told them to bring an ark.”"
"Static Collection Array","StarAlliance","DARK_TIDINGS – 284","Artifact","Uncommon","0.5","1.5","0","","0.5","1.5","0","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","increasesKeyCost – 1 – anyHouse","raisesTide – 2 – anyHouse | forgesKeys – 1 – anyHouse | card – 4 – anyHouse","ITEM"," Your keys cost –1 while the tide is high and +1 while the tide is low.","Tides on the Crucible behave in strange and often unpredictable ways."
"Stunner","StarAlliance","WORLDS_COLLIDE – 319 | MASS_MUTATION – 330 | DARK_TIDINGS – 285","Upgrade","Uncommon","1.75","","0","","1","","0","","0","","0.75","","0","","0","0","","","0","","0","","1","","","0","0","goodReap – 2 – anyHouse | goodPlay – 3 – anyHouse | stuns – 3 – anyHouse","","","This creature gains, ""Fight/Reap: You may stun a creature.""","“Set stunners to…stun?”"
"T3R-35A","StarAlliance","DARK_TIDINGS – 286","Creature","Uncommon","2.2","","0","","1.5","","0","","0","","0","","3","","0","0","","","0","","0","","0","3","","0","0","uses – 4 – continuous","","ROBOT","T3R-35A may be used as if it belonged to either of its neighbor's houses. T3R-35A may be played as an upgrade instead of a creature, with the text: “This creature may be used as if it belonged to either of its neighbor's houses.”",""
"Together!","StarAlliance","DARK_TIDINGS – 287","Action","Uncommon","3","4","0","","0","","0","","0","","0","","0","","3","0","4","","0","","0","","0","","","0","0","playsCards – 3 – anyHouse | good – 2 – anyHouse | playsFromOtherHouse – 4 – anyHouse | good – 4 – anyHouse","raisesTide – 3 – anyHouse",""," Play: You may play a non-Star Alliance card. If the tide is high, you may play another non-Star Alliance card.","“What do you mean you’re not water-resistant?!”"
"Universal Translator","StarAlliance","WORLDS_COLLIDE – 322 | MASS_MUTATION – 332 | DARK_TIDINGS – 288","Upgrade","Uncommon","1.25","1.5","0","","1.25","1.5","0","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","uses – 3 – outOfHouse | goodReap – 3 – anyHouse | goodPlay – 3 – anyHouse","causesReaping – 3 – anyHouse","","This creature gains, ""Fight/Reap: Use a friendly non-Star Alliance creature.""","Version 207 notes: Now includes Darmokian, Aquan, and Swamp Bubble."
"Xenotraining","StarAlliance","WORLDS_COLLIDE – 323 | MASS_MUTATION – 333 | DARK_TIDINGS – 289","Action","Uncommon","1.75","2.25","0.75","1.25","1","","0","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","capturesAmber – 3 – anyHouse | putsAmberOnTarget – 3 – anyHouse","highTotalCreaturePower – 3 – anyHouse | lowTotalCreaturePower – -3 – anyHouse","","Play: For each house represented among friendly creatures, a friendly creature captures 1.","Blending in with the locals sounded easier on paper."
"Æmber-vac","StarAlliance","DARK_TIDINGS – 290","Upgrade","Common","1","2","1","2","0","","0","","0","","0","","0","","0","0","","","0","","0","","0","","","0","0","raisesTide – 3 – anyHouse | capturesAmber – 3 – anyHouse | putsAmberOnTarget – 2 – anyHouse","removesCapturedAmber – 3 – anyHouse | raisesTide – 2 – anyHouse | card – 3 – anyHouse | protectsCreatures – 1 – anyHouse | any – 2 – anyHouse",""," Play: Raise the tide.  This creature gains, ""At the start of your turn, if the tide is high, capture 2.""",""
"Biome Discovery","StarAlliance","DARK_TIDINGS – 291","Action","Common","1.25","1.5","0","","1","","0","","0","","0","","0","","0.25","0","0.5","","0","","0","","1","","","0","0","revealsTopDeck – 3 – anyHouse | raisesTide – 3 – anyHouse","raisesTide – 3 – anyHouse",""," Play: If the tide is high, you may look at the top 2 cards of your deck and discard 1 of them. Otherwise, raise the tide.",""
"Armsmaster Molina","StarAlliance","WORLDS_COLLIDE – 292","Creature","Common","1.35","","0","","0","","0.25","","0","","0","","7","","0","0","","","0","","0","","0","4","","17436","17243","protectsCreatures – 1 – anyHouse | preventsFighting – 1 – anyHouse","","HUMAN","Hazardous 3. (Before this creature is attacked, deal 3D to the attacking enemy.) Each of Armsmaster Molina’s neighbors gains hazardous 3.",""
"C.R. Officer Hawkins","StarAlliance","DARK_TIDINGS – 292","Creature","Common","1.6","2.6","0","","1","2","0","","0","","0","","2","","0","0","","","0","","0","","0","2","","0","0","deploy – 3 – anyHouse | goodPlay – 3 – anyHouse","replays – 3 – house","HUMAN","Deploy. (This creature can enter play anywhere in your battleline.) Play: Gain 1 for each of C.R. Officer Hawkins's non-Star Alliance neighbors.",""
"Chief Engineer Walls","StarAlliance","WORLDS_COLLIDE – 293","Creature","Common","0.8","2.8","0","","0","","0","","0","","0","","4","","0","0","","2","0","","0","","0","2","","17325","17213","elusive – 3 – anyHouse | goodReap – 3 – anyHouse | goodPlay – 3 – anyHouse","any – 2 – house | any – 2 – house | causesReaping – 1 – anyHouse | replays – 2 – house","HUMAN","Elusive. (The first time this creature is attacked each turn, no damage is dealt.) Play/Fight/Reap: You may return an upgrade or Robot card from your discard pile to your hand.",""
"Diplomat Agung","StarAlliance","DARK_TIDINGS – 293","Creature","Common","1.6","2.1","0","","1","1.5","0","","0","","0","","2","","0","0","","","0","","0","","0","2","","0","0","uses – 3 – outOfHouse | goodReap – 3 – anyHouse | goodPlay – 3 – anyHouse","protectsCreatures – 2 – anyHouse | causesReaping – 2 – anyHouse | replays – 2 – house","ALIEN | KRXIX","Play/Fight/Reap: For the remainder of the turn, a friendly creature belongs to the house of your choice in addition to its other houses.",""
"Grand Alliance Council","StarAlliance","DARK_TIDINGS – 294","Action","Common","2.8","3.3","0","","0","","0","","0","","3","3.5","-2","","0","0","","","0","","0","","0","","","0","0","dangerousRandomPlay – 2 – anyHouse | boardClear – 2 – anyHouse | destroys – 3 – anyHouse | good – 3 – anyHouse","highCreatureCount – -3 – anyHouse | lowCreatureCount – 3 – anyHouse | card – 3 – anyHouse","","Play: Choose a creature of each house. Destroy each creature not chosen.","“We’ll form a committee to handle this!”"
"Cloaking Dongle","StarAlliance","WORLDS_COLLIDE – 294","Upgrade","Common","1.25","","0","","1","","0.25","","0","","0","","0","","0","0","","","0","","0","","1","","","17123","16858","elusive – 4 – anyHouse | protectsCreatures – 2 – anyHouse | goodPlay – 3 – anyHouse | preventsFighting – 2 – anyHouse","","","This creature and each of its neighbors gains elusive. (The first time this creature is attacked each turn, no damage is dealt.)",""
"Com. Officer Kirby","StarAlliance","WORLDS_COLLIDE – 295","Creature","Common","3.4499999999999997","4.45","0","","0","","0","","0","","0","","3","","2.75","0","3.75","","0","","0","","0","3","","22684","20006","goodReap – 4 – anyHouse | goodPlay – 4 – anyHouse | playsCards – 3 – anyHouse | playsFromOtherHouse – 4 – anyHouse | good – 4 – anyHouse","causesReaping – 2 – anyHouse | replays – 2 – house | protectsCreatures – 1 – anyHouse","HUMAN","Play/Fight/Reap: You may play a non-Star Alliance artifact, upgrade, or action card this turn. ","“Fleet Command has to be out there somewhere.”"
"Lieutenant Valmart","StarAlliance","DARK_TIDINGS – 296","Creature","Common","1.7000000000000002","2.2","1","1.5","0","","0","","0","","0","","3","","0","0","","","0","","0","","0","3","","0","0","goodPlay – 3 – anyHouse | goodReap – 3 – anyHouse | increasesKeyCost – 3 – anyHouse","causesReaping – 2 – anyHouse | protectsCreatures – 2 – anyHouse","ALIEN | SCIENTIST"," Play/Fight/Reap: If the tide is high, keys cost +3 during your opponent's next turn. ",""
"Explo-rover","StarAlliance","MASS_MUTATION – 307 | WORLDS_COLLIDE – 297","Creature","Common","0.9","","0","","0","","0","","0","","0","","5","","0","0","","","0","","0","","0","3","","20154","21536","skirmish – 3 – anyHouse","","ROBOT","Skirmish. Explo-rover may be played as an upgrade instead of a creature, with the text: “This creature gains skirmish.”",""
"First Officer Frane","StarAlliance","WORLDS_COLLIDE – 298","Creature","Common","1.7999999999999998","2.05","1","1.25","0","","0","","0","","0","","4","","0","0","","","0","","0","","0","4","","19614","18260","goodPlay – 2 – anyHouse | putsAmberOnTarget – 3 – anyHouse | capturesAmber – 2 – anyHouse | goodReap – 2 – anyHouse","causesReaping – 2 – anyHouse","HUMAN","Play/Fight/Reap: A friendly creature captures 1A.","“Frane, hand me the—“ ”Here you go, captain.”"
"Officer's Blaster","StarAlliance","DARK_TIDINGS – 298","Upgrade","Common","1.25","","0","","1","","0.25","","0","","0","","0","","0","0","","","0","","0","","1","","","0","0","protectsCreatures – 2 – anyHouse | protectsFromEffects – 2 – anyHouse | increasesCreaturePower – 2 – anyHouse","","","This creature gets +2 power. This creature gains, “Destroyed: Attach Officer’s Blaster to this creature's right neighbor.”",""
"Lieutenant Khrkhar","StarAlliance","DARK_TIDINGS – 295 | WORLDS_COLLIDE – 299","Creature","Common","1.4500000000000002","","0","","0","","0.25","","0","","0","","8","","0","0","","","0","","0","","0","5","","17656","17803","protectsCreatures – 3 – anyHouse | preventsFighting – 3 – anyHouse","","ALIEN | HANDUHAN","Taunt. (This creature’s neighbors cannot be attacked unless they have taunt.) Hazardous 3. (Before this creature is attacked, deal 3D to the attacking enemy.)","“At last! Honorable combat!”"
"Operative Espion","StarAlliance","DARK_TIDINGS – 299","Creature","Common","1.25","1.5","0","","0.5","1","0","","0","","0","","6","","0","0","","","0","","-0.25","-0.5","0","4","","0","0","elusive – 3 – anyHouse | uses – 3 – anyHouse","raisesTide – 2 – anyHouse | lowersTide – 3 – anyHouse | card – 4 – anyHouse","ALIEN","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)  After a player raises the tide during their turn, they may use a creature they control.",""
"Rocketeer Tryska","StarAlliance","DARK_TIDINGS – 300","Creature","Common","1.3","2.3","0","","0.5","1.5","0","","0","","0","","4","","0","0","","","0","","0","","0","4","","0","0","uses – 3 – continuous | readies – 3 – continuous","raisesTide – 2 – anyHouse | protectsCreatures – 2 – anyHouse | deploy – 2 – anyHouse | moves – 1 – anyHouse | card – 1 – anyHouse","HUMAN"," While the tide is high, Rocketeer Tryska’s neighbors enter play ready.","“We’ll be together forever, Glub-Glub!”"
"Light of the Archons","StarAlliance","DARK_TIDINGS – 297 | WORLDS_COLLIDE – 300","Upgrade","Common","1.25","2.5","0","","1","","0.25","1.5","0","","0","","0","","0","0","","","0","","0","","1","","","17620","16821","protectsCreatures – 3 – anyHouse | protectsFromEffects – 3 – anyHouse | goodPlay – 3 – anyHouse | addsArmor – 3 – anyHouse | increasesCreaturePower – 3 – anyHouse","any – 2 – anyHouse","","This creature gets +1 power and +1 armor for each upgrade attached to it.",""
